类型,ID,章节,难度,题目内容,行号
练习题,23.1-6,第23章 最小生成树,normal,证明：一个图有唯一的最小生成树，如果对于该图的每一个割，都存在着通过该割的唯一一条轻边。另外，给出一个反例来证明其逆命题不成立。,12095
练习题,23.1-7,第23章 最小生成树,normal,论证：如果图中所有边的权值都是正的，那么，任何连接所有顶点、且有着最小总权值的边的子集必为一棵树。请给出一个例子来说明如果允许某些权值非正的话，这一结论就不成立了。,12096
练习题,23.1-8,第23章 最小生成树,normal,设 $T $是图 $G $的一棵最小生成树， $L $是 $T $中各边权值的一个已排序的列表。证明：对于 $G $的任何其他最小生成树 $T' $， $L $也是 $T' $中各边权值的一个已排序的...,12097
练习题,23.1-9,第23章 最小生成树,normal,"设 $T $是图 $G = (V, E) $的一棵最小生成树， $V' $是 $V $的一个子集。设 $T' $为 $T $的一个基于 $V' $的子图， $G' $为 $G $的一个基于 $V' $...",12098
练习题,23.1-10,第23章 最小生成树,normal,给定一个图 $G $和一棵最小生成树 $T $，假定减小了 $T $中某一边的权值。证明： $T $仍然是 $G $的一棵最小生成树。更为形式地，设 $T $是 $G $的一棵最小生成树，其各边的权值...,12102
练习题,23.2-1,第23章 最小生成树,normal,根据对边进行排序时处理的不同方式，即使对同一输入图 $G $，Kruskal算法也可能得出不同的生成树。证明对 $G $的每一棵最小生成树 $T $，Kruskal算法中都存在一种方法来对边进行排序，...,12249
练习题,23.2-2,第23章 最小生成树,normal,"假定图 $G = (V,E) $用邻接矩阵表示，在这种条件下，给出Prim算法的运行时间为 $O(V^{2}) $的实现。",12250
练习题,23.2-3,第23章 最小生成树,normal,"从渐近意义上来说，对于稀疏图 $G = (V, E) $， $|E| = \Theta(V) $，用斐波那契堆来实现 Prim 算法是否要比用二叉堆来实现其运行速度要更快些？对于稠密图 $(|E| =...",12251
练习题,23.2-4,第23章 最小生成树,normal,假设在某个图中，所有边的权值均为1到 $|V| $之间的整数。在这一条件下，你能使Kruskal算法的运行时间达到多快？如果各边的权值都是1到 $W(W $是某个常数)之间的整数，情况又怎样呢？,12252
练习题,23.2-5,第23章 最小生成树,normal,假设在某个图中，所有边的权值都是1到 $|V| $之间的整数，在这一条件下，你能使Prim算法的运行时间达到多快？如果各边的权值都是1到 $W(W $是某个常数)之间的整数，情况又怎样呢？ $\sta...,12253
练习题,*23.2-7,第23章 最小生成树,hard,假设某个图 $G $有一棵已经计算出来的最小生成树。如果一个新的顶点及其关联的边被加入到了 $G $中，该最小生成树可以在多快的时间内被更新呢？,12255
练习题,23.2-8,第23章 最小生成树,normal,"Toole教授提出了一种新的分治算法来计算最小生成树，该算法是这样的：给定一个图 $G = (V, E) $，将顶点集合 $V $划分成两个集合 $V_{1} $和 $V_{2} $，使得 $|V_{...",12256
练习题,24.1-1,第24章 单源最短路径,normal,"以顶点 $z $作为源点，对图24-4所给出的有向图运行Bellman-Ford算法。每趟操作中，按照图中的相同顺序对边进行松弛，并示出每趟过后 $d $与 $\pi $的值。现在，将边 $(z, x...",12630
练习题,24.1-2,第24章 单源最短路径,normal,证明推论24.3。,12631
练习题,24.1-3,第24章 单源最短路径,normal,"对于给定的无负权回路的带权有向图 $G = (V, E) $，设在所有 $u, v \in V $的顶点对中， $m $为所有从 $u $到为 $v $的最短路径上边数最小值中的最大值（这里，最短路径...",12632
练习题,24.1-4,第24章 单源最短路径,normal,对 Bellman-Ford 算法进行修改，对任意顶点 $v $，当从源点到 $v $的某些路径上存在一个负权回路，则置 $d[v] $为 $-\infty $。 $\star 24.1-5 $设 $...,12633
练习题,*24.1-6,第24章 单源最短路径,hard,"假定一加权有向图 $G = (V, E) $包含一负权回路。请给出一个能够列出此回路上的顶点的高效算法，并证明你算法的正确性。",12635
练习题,24.2-1,第24章 单源最短路径,normal,以顶点 $r $作为源点，对图24-5中的有向图运行DAG-SHORTTEST-PATHS。,12684
练习题,24.2-2,第24章 单源最短路径,normal,"假设我们把DAG-SHORTTEST-PATHS的第3行修改成： 3 for the first $|V| = 1 $vertices, taken in topologically sorted o...",12685
练习题,24.2-3,第24章 单源最短路径,normal,"上面对PERT图的阐述不太自然。如果用顶点代表工作，边代表有序的约束，即边 $(u, v) $表示工作 $u $必须在工作 $v $之前完成，权值则赋给顶点而不是边。修改过程DAG-SHORTTEST...",12693
练习题,24.2-4,第24章 单源最短路径,normal,给出一个高效算法来统计有向无回路图中的全部路径数。分析所给出的算法。,12695
练习题,24.3-1,第24章 单源最短路径,normal,用顶点 $s $和顶点 $z $分别作为源点，对图24-2所示的有向图运行Dijkstra算法。利用图24-6所示的方式，说明在while循环的每次迭代以后的 $d $和 $\pi $值，以及集合 $...,12789
练习题,24.3-2,第24章 单源最短路径,normal,给出一含有负权边的有向图的简单实例，说明Dijkstra算法对其运行时会产生错误的结果。在允许图中边的权值为负时，为什么定理24.6的证明不能成立？,12790
练习题,24.3-3,第24章 单源最短路径,normal,假设将Dijkstra算法的第4行改为 4 while $|Q| > 1 $这一修改使得while循环执行 $|V|-1 $次而不是 $|V| $次，是否正确？,12791
练习题,24.3-4,第24章 单源最短路径,normal,"已知一有向图 $G = (V, E) $，其每条边 $(u, v) \in E $均对应有一个实数值 $r(u, v) $，表示从顶点 $u $到顶点 $v $之间的通信线路的可靠性，取值范围为 $0...",12797
练习题,24.3-5,第24章 单源最短路径,normal,"设 $G = (V, E) $为一个带权有向图，其权函数 $\omega: E \to \{1, 2, \dots, W\} $， $W $是某正整数，并假设从源点 $s $到任意两个顶点之间都不存在...",12798
练习题,24.3-6,第24章 单源最短路径,normal,"设 $G = (V, E) $为带权有向图，权函数 $\pmb{w}: E \rightarrow \{0, 1, \dots, W\} $，其中 $W $为某非负整数。修改Dijkstra算法，以使...",12799
练习题,24.3-7,第24章 单源最短路径,normal,修改练习 24.3-6 中的算法，使其运行时间为 $O((V + E) \lg W) $。（提示：在任意时刻， $V - S $中有多少不同的最短路径估计？）,12800
练习题,24.3-8,第24章 单源最短路径,normal,"假定有一个带权有向图 $G = (V, E) $，从源点 $s $出发的边可能有负权，所有其他的边的权都非负，而且不存在负权回路。论证在这样的图中，Dijkstra 算法可以正确地从 $s $找到最短...",12801
练习题,24.4-1,第24章 单源最短路径,normal,对下列差分约束系统找出其可行解，或者说明不存在可行解。 $ $\begin{array}{l} x _ {1} - x _ {2} \leqslant 1 \cdot x _ {1} - x _ {4...,12928
练习题,24.4-2,第24章 单源最短路径,normal,对下列差分约束系统找出其可行解，或说明不存在可行解。 $ $\begin{array}{l} x _ {1} - x _ {2} \leqslant 4 \quad x _ {1} - x _ {5}...,12934
练习题,24.4-3,第24章 单源最短路径,normal,在约束图中，从新顶点 $v_{0} $出发的最短路径的权是否可以为正数？试说明之。,12940
练习题,24.4-4,第24章 单源最短路径,normal,试用线性规划方法来表述单对顶点最短路径问题。,12942
练习题,24.4-5,第24章 单源最短路径,normal,试说明如何对 Bellman-Ford 算法稍作修改，使其在解关于 $n $个未知量的 $m $个不等式所定义的差分约束系统时，运行时间为 $O(nm) $。,12943
练习题,24.4-6,第24章 单源最短路径,normal,假定除一个差分约束系统外，我们还要求处理形如 $x_{i} = x_{j} + b_{k} $的相等约束。试说明 Bellman-Ford 算法如何作适当修改，以解决这个约束系统的变形。,12944
练习题,24.4-7,第24章 单源最短路径,normal,试说明如何不用附加顶点 $v_{0} $而对约束图运行类 Bellman-Ford 算法，从而求得差分约束系统的解。 $\star 24.4 - 8 $设 $Ax \leqslant b $是关于 $...,12945
练习题,24.4-10,第24章 单源最短路径,normal,假设线性规划 $Ax \leqslant b $中，矩阵 $A $的每一行对应于差分约束条件，即形如 $x_{i} \leqslant b_{k} $或 $-x_{i} \leqslant b_{k}...,12948
练习题,24.4-11,第24章 单源最短路径,normal,对所有 $b $的元素均为实数，且所有未知量 $x_{i} $必须是整数的情形，写出一个有效算法，以求得差分的约束系统 $Ax \leqslant b $的解。,12949
练习题,*24.4-12,第24章 单源最短路径,hard,对所有 $b $的元素均为实数且部分(并不一定是全部)未知量 $x_{i} $必须是整数的情形，写出一个有效算法，以求得差分的约束系统 $Ax \leqslant b $的解。,12950
练习题,24.5-1,第24章 单源最短路径,normal,对图24-2，除图中已画出的两棵树以外，另外再画出两棵图中所示有向图的最短路径树。,13091
练习题,24.5-2,第24章 单源最短路径,normal,"举出一个带权有向图 $G = (V, E) $的实例，其加权函数为 $\omega: E \to \mathbb{R} $，且源点为 $s $，要求 $G $满足下列性质：对每条边 $(u, v) \...",13092
练习题,24.5-3,第24章 单源最短路径,normal,对引理 24.5-3 的证明过程进行修改，使其能在最短路径的权为 $\infty $或 $-\infty $时，证明引理的正确性。,13094
练习题,24.5-4,第24章 单源最短路径,normal,"设 $G = (V, E) $是带权有向图，源点为 $s $，并设 $G $由过程 INITIALIZE-SINGLE-SOURCE $(G, s) $进行了初始化。证明如果经过一系列松弛操作， $\...",13095
练习题,24.5-5,第24章 单源最短路径,normal,"设 $G = (V, E) $为带权有向图且不含负权边。设 $s \in V $为源点若 $v \in V - \{s\} $为从 $s $可达的顶点，则 $\pi[v] $是从源 $s $到 $v ...",13096
练习题,24.5-6,第24章 单源最短路径,normal,"设 $G = (V, E) $为带权有向图，其权值函数为 $\omega: E \to \mathbb{R} $，且图中不包含负权回路。设 $s \in V $为源点，且 $G $由 INITIALI...",13097
练习题,24.5-7,第24章 单源最短路径,normal,"设 $G = (V, E) $为带权有向图且不包含负权回路。设 $s \in V $为源点且 $G $由 INITIALIZESINGLE-SOURCE $(G, s) $进行了初始化。证明存在 $|...",13098
练习题,24.5-8,第24章 单源最短路径,normal,设 $G $为任意带权有向图，且存在一源点 $s $可达负权回路。证明对 $G $的边总可以构造一个无限的松弛序列，使得每个松弛步骤都能对最短路径估计进行修改。,13099
练习题,25.1-1,第25章 每对顶点间的最短路径,normal,对图 25-2 中的带权有向图执行 SLOW-ALL-PAIRS-SHORTTEST-PATHS，说明循环的每次迭代生成的矩阵。然后对 FASTER-ALL-PAIRS-SHORTTEST-PATHS...,13461
练习题,25.1-2,第25章 每对顶点间的最短路径,normal,为什么对所有的 $1 \leqslant i \leqslant n $，要求 $w_{ii} = 0 $?,13462
练习题,25.1-3,第25章 每对顶点间的最短路径,normal,在最短路径算法中使用的矩阵 $L^{(0)} $对应于常规矩阵乘法中的什么？ ![](images/693c19baff8a1494099702c20af11254d1dfe7fde3a2831910...,13463
练习题,25.1-4,第25章 每对顶点间的最短路径,normal,说明EXTEND-SHORTTEST-PATHS所定义的矩阵乘法满足结合律。,13472
练习题,25.1-5,第25章 每对顶点间的最短路径,normal,说明如何把单源最短路径问题表述为矩阵和向量的乘积。描述对该乘积的计算是如何与类似 Bellman-Ford 这样的算法相一致的。,13473
练习题,25.1-6,第25章 每对顶点间的最短路径,normal,假设我们希望在本节的算法中得出最短路径上的顶点。说明如何在 $O(n^{3}) $时间内，根据已完成的最短路径权值的矩阵 $L $计算出前趋矩阵 $\Pi $。,13474
练习题,25.1-7,第25章 每对顶点间的最短路径,normal,可以用与计算最短路径的权值相同的时间，计算出最短路径上的顶点。定义 $\pi_{ij}^{(m)} $为从 $i $到 $j $至多包含 $m $条边的任何最小权值的路径上顶点 $j $的前趋。修改 ...,13475
练习题,25.1-8,第25章 每对顶点间的最短路径,normal,如上所述，FASTER-ALL-PAIRS-SHORTTEST-PATHS过程需要我们保存 $\lceil \lg (n - 1)\rceil $个矩阵，每个矩阵包含 $n^2 $个元素，总的空间需求...,13476
练习题,25.1-9,第25章 每对顶点间的最短路径,normal,修改FASTER-ALL-PAIRS-SHORTTEST-PATHS，使其能检测出图中是否存在权值为负的回路。,13477
练习题,25.1-10,第25章 每对顶点间的最短路径,normal,写出一个有效的算法来计算图中最短的负权值回路的长度（即所包含的边数）。,13478
练习题,25.2-1,第25章 每对顶点间的最短路径,normal,对图25-2所示的带权有向图运行Floyd-Warshall算法。写出外层循环中每次迭代所生成的矩阵 $D^{(k)} $。,13602
练习题,25.2-2,第25章 每对顶点间的最短路径,normal,说明如何利用25.1节的技术计算传递闭包。,13603
练习题,25.2-3,第25章 每对顶点间的最短路径,normal,"根据等式(25.6)和等式(25.7)，修改过程FLOYD-WARSHALL以使其包含对矩阵 $\Pi^{(k)} $的计算。严格证明对所有的 $i\in V $，前趋子图 $G_{\pi ,i} $...",13604
练习题,25.2-4,第25章 每对顶点间的最短路径,normal,"如上所见，由于我们要计算 $d_{ij}^{(k)} $， $i, j, k = 1, 2, \dots, n $，因此Floyd-Warshall算法的空间要求为 $\Theta(n^3) $。证明...",13605
练习题,25.2-5,第25章 每对顶点间的最短路径,normal,假设我们修改等式(26.7)中等号的处理方式 $ $\pi_ {i j} ^ {(k)} = \left\{ \begin{array}{l l} \pi_ {i j} ^ {(k - 1)} & \...,13616
练习题,25.2-6,第25章 每对顶点间的最短路径,normal,如何利用Floyd-Warshall算法的输出来检测是否存在权为负的回路？,13624
练习题,25.2-7,第25章 每对顶点间的最短路径,normal,"Floyd-Warshall 算法中另一种重构最短路径的方法利用了 $\phi_{ij}^{(k)} $的值， $i, j, k = 1, 2, \dots, n $，其中 $\phi_{ij}^{(...",13626
练习题,25.2-8,第25章 每对顶点间的最短路径,normal,"写出一运行时间为 $O(VE) $的算法，来计算有向图 $G = (V, E) $的传递闭包。",13628
练习题,25.2-9,第25章 每对顶点间的最短路径,normal,"假定一个有向无环图的传递闭包可以在 $f(|V|, |E|) $时间内计算，其中 $f $是 $|V| $和 $|E| $的单调递增函数。证明：计算一般有向图 $G = (V, E) $的传递闭包 $...",13630
练习题,25.3-1,第25章 每对顶点间的最短路径,normal,利用Johnson算法，找出图25-2所示图中的每对顶点间最短路径。说明由算法计算出的 $h $和 $\hat{\omega} $的值。,13735
练习题,25.3-2,第25章 每对顶点间的最短路径,normal,把新顶点 $s $加入到 $V $中得到 $V' $，其意图是什么？,13736
练习题,25.3-3,第25章 每对顶点间的最短路径,normal,"假定对所有边 $(u, v) \in E $，有 $w(u, v) \geqslant 0 $。那么加权函数 $\pmb{w} $和 $\hat{\pmb{w}} $有什么关系？",13737
练习题,25.3-4,第25章 每对顶点间的最短路径,normal,"GreenStreet 教授声称，存在一个比 Johnson 算法中所使用的更简单的重赋权方法。令 $w^{*} = \min_{(u, v) \in E} \{w(u, v)\} $，只要对所有边 ...",13738
练习题,25.3-5,第25章 每对顶点间的最短路径,normal,"假设在有向图 $G $上用加权函数 $\pmb{w} $运行Johnson算法。证明：如果 $G $包含0权的回路 $c $则对 $c $中的每个边 $(u, v) $， $\hat{w}(u, v)...",13739
练习题,25.3-6,第25章 每对顶点间的最短路径,normal,Michener 教授宣称，在JOHNSON算法的第1行中，不需要建立一个新的源顶点。相反，他主张可以使用 $G' = G $，而且设 $s $为 $V[G] $中的任意顶点。给出一个带权有向图 $G...,13740
练习题,26.1-1,第26章最大流,normal,"利用流的定义，证明如果 $(u, v) \notin E $且 $(v, u) \notin E $，有 $f(u, v) = f(v, u) = 0 $。",13905
练习题,26.1-2,第26章最大流,normal,证明：对于任意非源点非汇点的顶点 $v $，进入 $v $的总正向流必定等于离开 $v $的总正向流。,13906
练习题,26.1-3,第26章最大流,normal,在多个源点和多个汇点的问题中，试对流的定义和特性进行扩展说明。证明在具有多个源点和多个汇点的流网络中，任意流均对应于通过增加一个超级源点和超级汇点所得到的具有相同值的一个单源点单汇点流，反之亦然。,13907
练习题,26.1-4,第26章最大流,normal,证明引理26.1。,13908
练习题,26.1-5,第26章最大流,normal,"对于图 26-1b 所示的流网络 $G = (V, E) $和流 $f $，找出两个子集合 $X, Y \subseteq V $，且满足 $f(X, Y) = -f(V - X, Y) $。再找出两...",13909
练习题,26.1-6,第26章最大流,normal,"给定流网络 $G = (V, E) $，设 $f_{1} $和 $f_{2} $为 $V \times V $到 $\mathbb{R} $上的函数。流的和 $f_{1} + f_{2} $是从 $V...",13910
练习题,26.1-7,第26章最大流,normal,设 $f $为网络中的一个流， $\alpha $为实数。标量流之积（scalar flow product） $\alpha f $是一个从 $V \times V $到 $\mathbb{R} $...,13918
练习题,26.1-8,第26章最大流,normal,将最大流问题表述为一个线性规划问题。,13926
练习题,26.1-9,第26章最大流,normal,亚当教授有两个孩子，可不幸的是他们互相不喜欢对方。问题是如此地严重：他们拒绝一同走到学校，而且甚至不愿意走过对方当天踏过的街区（在角落交叉的路径并不会产生问题）。幸运的是，教授的房子和学校都是在角落，...,13927
练习题,26.2-1,第26章最大流,normal,"在图 26-1b 中，通过割 $(\{s, v_2, v_4\}, \{v_1, v_3, t\}) $的流是多少？该割的容量是多少？",14231
练习题,26.2-2,第26章最大流,normal,试说明Edmonds-Karp算法在图26-1a所示的流网络上执行的过程。,14232
练习题,26.2-3,第26章最大流,normal,在图26-5的实例中，对应于图中最大流的最小割是多少？在例中出现的增广路径中，哪两条路径抵消了先前被传输的流？,14233
练习题,26.2-4,第26章最大流,normal,"证明对任意一对顶点 $u $和 $v $、任意的容量和流函数 $c $和 $f $，有： $ $c _ {f} (u, v) + c _ {f} (v, u) = c (u, v) + c (v, u...",14234
练习题,26.2-5,第26章最大流,normal,在26.1节中，我们通过增加具有无限容量的边，把一个多源点多汇点的流网络转换为单源点单汇点的流网络。证明：如果初始的多源点多汇点网络中的边具有有限的容量，则转换后所得的网络中的任意流均为有限值。,14240
练习题,26.2-6,第26章最大流,normal,"假定在多源点多汇点问题中，每个源点 $s_i $产生 $p_i $单位的流，即 $f(s_i, V) = p_i $。同时假定每个汇点 $t_j $消耗 $q_j $单位的流，即 $f(V, t_j)...",14241
练习题,26.2-7,第26章最大流,normal,证明引理26.3。,14243
练习题,26.2-8,第26章最大流,normal,"证明：一个网络 $G = (V, E) $的最大流总可以被至多由 $|E| $条增广路径所组成的序列发现。（提示：找出最大流后再确定路径。）",14244
练习题,26.2-9,第26章最大流,normal,无向图边连通度(edge connectivity)是指为了使图不连通而必须去掉的最少边数 $k $。例如，树的边连通度为1，顶点的循环链的边连通度是2。说明如何对至多 $\mid V\mid $个流...,14245
练习题,26.2-10,第26章最大流,normal,"假定一个流网络 $G = (V, E) $中有对称边，也就是 $(u, v) \in E $当且仅当 $(v, u) \in E $，试证明 Edmonds-Karp 算法在至多进行 $|V| / |...",14246
练习题,26.3-1,第26章最大流,normal,对图 26-8b 中所示的流网络运行 Ford-Fulkerson 算法。并指出每次对流增加以后所得的残留网络。对 $L $中的顶点从上到下编为 $1 \sim 5 $号，对 $R $中的顶点从上到下...,14326
练习题,26.3-2,第26章最大流,normal,证明定理26.11。,14327
练习题,26.3-3,第26章最大流,normal,"设 $G = (V, E) $为二分图，其顶点划分为 $V = L \cup R $，且 $G' $是其相应的流网络，在 FORD-FULKERSON 执行过程中，对在 $G' $中找出的任意增广路径...",14328
练习题,*26.3-4,第26章最大流,hard,"完全匹配(perfect matching)是指图中每个顶点均被匹配，设 $G = (V, E) $是其顶点分划为 $V = L \cup R $的一个无向二分图，其中 $|L| = |R| $。对任...",14329
练习题,26.4-1,第26章最大流,normal,说明如何实现一般性压入与重标记算法，使得每次重标记操作需要 $O(V) $时间，每次压入操作需要 $O(1) $时间，选择可应用的操作需要 $O(1) $时间，而整个算法的时间为 $O(V^2 E) ...,14587
练习题,26.4-2,第26章最大流,normal,证明：在执行全部的 $O(V^2) $次重标记操作时，一般性压入与重标记算法所需的全部运行时间仅为 $O(VE) $。,14589
练习题,26.4-3,第26章最大流,normal,"假定运用压入与重标记算法找出了流网络 $G = (V, E) $中的最大流。试给出一种快速算法来找出 $G $的最小割。",14591
练习题,26.4-4,第26章最大流,normal,写出一个有效的压入与重标记算法，以找出一个二分图的最大匹配。,14593
练习题,26.4-5,第26章最大流,normal,"假定在流网络 $G = (V, E) $中，所有边的容量都属于集合 $\{1, 2, \dots, k\} $。试用 $|V| $， $|E| $和 $k $来分析一般性压入与重标记算法的运行时间（提...",14595
练习题,26.4-6,第26章最大流,normal,证明 INITIALIZE-PREFLOW 的第 7 行可以改为 $h[s] \gets |V[G]| - 2 $，这并不影响一般性压入与重标记算法的正确性或其渐近意义上的性能。,14597
练习题,26.4-7,第26章最大流,normal,"设 $\delta_f(u, v) $为残留网络 $G_f $中从 $u $到 $v $的距离（边数）。证明 GENERIC-PUSH-RELABEL 保持下列性质：若 $h[u] < |V| $，则...",14599
练习题,26.4-9,第26章最大流,normal,"证明对于 $|V| \geqslant 4 $，在流网络 $G = (V, E) $上运行 GENERIC-PUSH-RELABEL 所执行的非饱和压入操作的次数至多为 $4|V|^2|E| $。",14603
练习题,26.5-1,第26章最大流,normal,"用图26-10所示的方法，说明RELABEL-TO-FRONT对图26-1a中的流网络执行的过程。假定 $L $中的初始顶点顺序为 $\langle v_{1}, v_{2}, v_{3}, v_{4...",14780
练习题,*26.5-2,第26章最大流,hard,我们希望通过对溢出顶点设置一个先进先出队列的方法来实现压入与重标记算法。算法反复排除处于队头的顶点，任何在排除前不为溢出但排除后变为溢出的顶点被放在队列末尾。当队头的顶点被排除后，就把它从队列中去掉。...,14790
练习题,26.5-3,第26章最大流,normal,证明：如果RELABEL仅通过计算 $h[u] \gets h[u] + 1 $来更新 $h[u] $，一般性算法依然正确。这一变化对RELABEL-TO-FRONT的性能有何影响？,14792
练习题,*26.5-4,第26章最大流,hard,证明：如果总是排除最高的溢出顶点，则可以使压入与重标记方法的运行时间变为 $O(V^3) $。 691,14794
练习题,26.5-5,第26章最大流,normal,假定在压入与重标记算法执行的某一时刻，存在一个整数 $0 < k \leqslant |V| - 1 $，没有顶点满足 $h[v] = k $。证明所有 $h[v] > k $的顶点都在最小割的源点一...,14798
练习题,27.1-1,第27章 排序网络,normal,"给定一输入序列 $\langle 9,6,5,2\rangle $，说明图27-2中网络的所有线路上出现的值。",15066
练习题,27.1-2,第27章 排序网络,normal,设 $n $为 2 的幂，试说明如何构造一个具有 $n $个输入、 $n $个输出，且深度为 $\lg n $的比较网络，其顶部的输出线路总是输出最小的输入值，而底部的输出线路则总是输出最大的输入值。,15067
练习题,27.1-3,第27章 排序网络,normal,向一个排序网络中加入一个比较器后，所得的比较网络可能不再是排序网络了。说明如何对图27-2中所示的网络增加一个比较器，使其不能对所有输入的置换进行排序。,15068
练习题,27.1-4,第27章 排序网络,normal,证明任何具有 $n $个输入的排序网络的深度至少为 $\lg n $。,15069
练习题,27.1-5,第27章 排序网络,normal,证明任何排序网络中的比较器的数目至少为 $\Omega (n\lg n) $。,15070
练习题,27.1-6,第27章 排序网络,normal,考察图 27-3 所示的比较网络。证明它实际上是一个排序网络，并说明其结构和插入排序（见 2.1 节）有何联系。,15071
练习题,27.1-7,第27章 排序网络,normal,我们可以把具有 $C $个比较器和 $n $个输入的比较网络表示为取值范围是从 1 到 $n $的、 $c $对 整数组成的一张表。如果两对整数中包含同一整数，则在网络中相应的比较器的排序次序由表中整...,15072
练习题,*27.1-8,第27章 排序网络,hard,假定除了上述标准类型的比较器外，我们引进一种“颠倒的”比较器，这种比较器在其底部线路中产生最大输出值。试说明如何把由 $c $个标准的或颠倒的比较器组成的任意网络，转换为仅包含 $c $个标准比较器的...,15079
练习题,27.2-1,第27章 排序网络,normal,证明：把一个单调递增函数作用于一个已排序序列后，得到的仍然是一个排序序列。,15129
练习题,27.2-2,第27章 排序网络,normal,"证明：当且仅当能正确地对如下 $n - 1 $个0-1序列进行排序： $\langle 1, 0, 0, \dots, 0, 0 \rangle $， $\langle 1, 1, 0, \dots,...",15130
练习题,27.2-3,第27章 排序网络,normal,证明：运用0-1原则，证明图27-6中所示的比较网络为一个排序网络。,15132
练习题,27.2-4,第27章 排序网络,normal,对判定树模型(decision-tree model)阐述并证明与0-1原理类似的结论。（提示：注意要正确地处理等式。）,15133
练习题,27.2-5,第27章 排序网络,normal,"证明：对所有 $i = 1, 2, \dots, n - 1 $，在一个具有 $n $个输入的排序网络中，第 $i $条线与第 $i + 1 $条线之间必至少有一个比较器。 ![](images/ef...",15134
练习题,27.3-1,第27章 排序网络,normal,存在多少个由0和1组成的双调序列？,15200
练习题,27.3-2,第27章 排序网络,normal,证明当 $n $为 2 的幂时，BITONIC-SORTER $[n] $包含 $\Theta (n\lg n) $个比较器。,15201
练习题,27.3-3,第27章 排序网络,normal,说明当输入数 $n $不是 2 的幂时，如何构造一个深度为 $O(\lg n) $的双调排序器。,15202
练习题,27.3-4,第27章 排序网络,normal,如果某半清洁器的输入是一个由任意数组成的双调序列，证明输出端满足下列性质：输出的上半部分和下半部分都是双调的，上半部分中的每个元素至少与下半部分中的每个元素一样小。,15203
练习题,27.3-5,第27章 排序网络,normal,考察两个由0和1组成的序列。证明如果其中一个序列的每个元素至少和另一个序列中每个元素一样小，则两个序列中有一个序列是清洁的。,15204
练习题,27.3-6,第27章 排序网络,normal,证明下列与0-1原则类似的关于双调排序网络的结论：一个能对任何由0和1组成的双调序列进行排序的比较网络，也能够对任何由任意数字组成的双调序列进行排序。,15205
练习题,27.4-1,第27章 排序网络,normal,对于合并网络，证明一个与0-1原则类似的结论。特别地，证明一个能对任何两个由0和1组成的单调递增序列进行合并的比较网络，也能对任何两个任意数组成的单调递增序列进行合并。,15235
练习题,27.4-2,第27章 排序网络,normal,要把多少个不同的0-1输入序列作为一个比较网络的输入，才能验证该网络是一个合并网络？,15236
练习题,27.4-3,第27章 排序网络,normal,证明：对任何能把1与 $n - 1 $项合并，以产生一个长度为 $\pmb{n} $的排序序列的网络，其深度至少为 $\lg n $。,15237
练习题,*27.4-4,第27章 排序网络,hard,"考察一个输入为 $a_1, a_2, \cdots, a_n $的合并网络， $n $为 2 的幂，其中包含两个需要合并的单调序列 $\langle a_1, a_3, \cdots, a_{n-1}...",15238
练习题,*27.4-5,第27章 排序网络,hard,证明：不论输入次序如何，任何合并网络都需要 $\Omega (n\lg n) $个比较器。,15239
练习题,27.5-1,第27章 排序网络,normal,SORTER[n]中有多少个比较器？,15270
练习题,27.5-2,第27章 排序网络,normal,证明 SORTER $[n] $的深度恰好为 $(\lg n)(\lg n + 1) / 2 $。,15271
练习题,27.5-3,第27章 排序网络,normal,"假定有 $2^{n} $个元素 $\langle a_{1}, a_{2}, \dots, a_{2n} \rangle $，我们希望把该序列划分为两个序列，其中一个包含 $n $个最小值，另一个包含...",15272
练习题,*27.5-4,第27章 排序网络,hard,设 $S(k) $为具有 $k $个输入的排序网络的深度， $M(k) $为具有 $2k $个输入的合并网络的深度。假定我们对一个由 $n $个数组成的序列进行排序，并且已知每个数与其在结果序列中的正...,15273
练习题,28.1-1,第28章 矩阵运算,normal,证明：如果 $\pmb{A} $和 $\pmb{B} $是 $n\times n $对称矩阵，则 $A + B $和 $A - B $也是对称的。,15612
练习题,28.1-2,第28章 矩阵运算,normal,证明： $(\mathbf{AB})^{\mathrm{T}} = \mathbf{B}^{\mathrm{T}}\mathbf{A}^{\mathrm{T}} $，而且 $\mathbf{A}^{\...,15613
练习题,28.1-3,第28章 矩阵运算,normal,证明：矩阵的逆是唯一的，即如果 $\pmb{B} $和 $C $都是 $\pmb{A} $的逆矩阵，则 $\pmb{B} = \pmb{C} $。,15614
练习题,28.1-4,第28章 矩阵运算,normal,证明：两个下三角矩阵的乘积仍然是一个下三角矩阵。证明：一个下三角（或上三角）矩阵的行列式的值是其对角线上的元素之积。证明：一个下三角矩阵如果存在逆矩阵，则逆矩阵也是一个下三角矩阵。,15615
练习题,28.1-5,第28章 矩阵运算,normal,证明：如果 $\pmb{P} $是一个 $n\times n $置换矩阵， $\pmb{A} $是一个 $n\times n $矩阵，则可以把 $\pmb{A} $的各行进行置换以得到 $\pmb{P...,15616
练习题,28.1-6,第28章 矩阵运算,normal,设 $\pmb{A} $和 $\pmb{B} $是 $n \times n $矩阵，且有 $\mathbf{AB} = \mathbf{I} $。证明：如果把 $\pmb{A} $的第 $j $行加到...,15617
